Aberdeen City-South Dakota,"(45.4646985, -98.4864829)"
West Mifflin Boro-Pennsylvania,"(40.4050736, -79.8312303)"
West New York Town-New Jersey,"(40.7878788, -74.0143064)"
West Point City-Mississippi,"(33.6076186, -88.6503254)"
West St Paul City-Minnesota,"(44.9160768, -93.10160739999999)"
West Valley City-Utah,"(40.6916132, -112.0010501)"
West Virginia Housing Dev Fund,"(38.5976262, -80.4549026)"
WestUniversityPlaceCity-Texas,"(29.7180075, -95.43382919999999)"
Westbrook City-Maine,"(43.6770252, -70.3711617)"
Westchester Co (Peekskill) SD,"(41.1220194, -73.7948516)"
Westerly-Rhode Island,"(41.3775987, -71.82728709999999)"
Western Australian Treasury,"(-31.9533935, 115.8518039)"
Westerville City-Ohio,"(40.1261743, -82.92906959999999)"
Westfield City-Indiana,"(40.0428151, -86.1274888)"
Westmoreland Co-Pennsylvania,"(40.2353963, -79.4703885)"
Wetumpka City-Alabama,"(32.5437448, -86.2119127)"
Weyauwega Town-Wisconsin,"(44.3213695, -88.9337226)"
Wheaton City-Illinois,"(41.8661403, -88.1070127)"
Whitefish Bay Wisconsin,"(43.1133444, -87.9000856)"
Wichita City-Kansas,"(37.68717609999999, -97.33005299999999)"
Wicomico Co-Maryland,"(38.3941813, -75.667356)"
Wilkes-Barre City-Pennsylvania,"(41.2459149, -75.88130749999999)"
Will Co (Richland) SD #88A,"(41.5652289, -88.1286978)"
Will Co (Summit Hill) SD #161,"(41.53076650000001, -87.82550069999999)"
Will-Kankakee SD # 207U,"(41.3955446, -87.9411499)"
Williamsburg Co-South Carolina,"(33.62936060000001, -79.6502105)"
Williamson Co (Georgetown) ISD,"(30.6384757, -97.6796045)"
Williamson Co-Texas,"(30.7591685, -97.69822719999999)"
Williston City-North Dakota,"(48.1469683, -103.6179745)"
Williston Parks & Rec Dt,"(48.1469683, -103.6179745)"
Willoughby Hills City-Ohio,"(41.5983823, -81.4184471)"
Wilmington City-North Carolina,"(34.2257255, -77.9447102)"
Winchester Redevelopment Auth,"(39.1836626, -78.16442889999999)"
Winfield City-Kansas,"(37.2397486, -96.9955918)"
Winston-SalemCityNorthCarolina,"(36.09985959999999, -80.244216)"
Wisconsin,"(43.7844397, -88.7878678)"
Wisconsin Hsg & Econ Dev Auth,"(43.7844397, -88.7878678)"
Wisconsin Public Finance Auth,"(43.7844397, -88.7878678)"
Wisconsin Rapids SD,"(44.38357630000001, -89.8173465)"
Wood-Ridge Boro-New Jersey,"(40.8447931, -74.08728479999999)"
Woodbridge Twp-New Jersey,"(40.5575986, -74.2846022)"
Woodbury City-Minnesota,"(44.9238552, -92.9593797)"
Worcester City-Massachusetts,"(42.2625932, -71.8022934)"
Worcester Co-Maryland,"(38.1584227, -75.4344727)"
Worthington City-Minnesota,"(43.6210985, -95.59414360000001)"
Yakima-Tieton Irrigation Dt,"(46.6020711, -120.5058987)"
Yarmouth Town-Maine,"(43.8006208, -70.18672269999999)"
Yellowstone Co-Montana,"(45.78565769999999, -108.4343805)"
Yolo Co-California,"(38.7646021, -121.9017954)"
Zion City-Illinois,"(42.4461322, -87.83285049999999)"
p,"(52.3905689, 13.0644729)"
